no,menu,size,price
0,あわびのオイスターソース煮込み,,928
1,かに肉と青梗菜のクリーム煮込み,,598
2,タチウオ四川風炒め,（小）,880
3,タチウオ四川風炒め,（大）,1180
4,にんにくの芽と蜂の巣の四川風炒め,,598
5,フカヒレスープ,,1280
6,ふかひれ姿煮込み,（小）,1860
7,ふかひれ姿煮込み,（大）,2580
8,むしホタテにんにく風味,,788
9,伊勢海老チリ or マヨ,,2588
10,海鮮いため,,898
11,海鮮入りおこげ,,898
12,海老サラダ,,598
13,海老チリソース,,698
14,海老マヨネーズ,,698
15,活アゲマキ貝とニンニクの芽炒め,（小）,980
16,活アゲマキ貝とニンニクの芽炒め,（大）,1280
17,活カキ入りチヂミ,（小）,880
18,活カキ入りチヂミ,（大）,1000
19,干し海老白菜芯炒め,,498
20,牛肉と生椎茸オイスタソース炒め,,698
21,黒胡椒入り鳥唐揚げ,,498
22,黒酢いり広東風キムチ,,398
23,蒸し豚肉の辛ソース,,598
24,赤酒粕入り豚バラ煮込みと花巻挟み,（小）,680
25,赤酒粕入り豚バラ煮込みと花巻挟み,（大）,980
26,ジャージャーメン,,550
27,ビーフン五目炒め,（小）,880
28,ビーフン五目炒め,（大）,1180
29,豚スペアリブ唐揚げ特製ソースかけ,（小）,880
30,豚スペアリブ唐揚げ特製ソースかけ,（大）,1180
31,豚足とろけるほど醤油煮込み,,398
32,軟らかい豚バラ煮込み,,598
33,北京ダック,,625
